"id","camp","Cond","Rel"
"P1168","P2","Recipients",0.25
"P1168","P2","Recipients",0.25
"P1183","P2","Recipients",0.25
"P1183","P2","Recipients",0.25
"P1183","P2","Recipients",0.00391
"P1048","P2","Recipients",0.01563
"P1048","P2","Recipients",0
"P1140","P2","Recipients",0.25
"P1140","P2","Recipients",0.5
"P1140","P2","Recipients",0.25
"P1085","P2","Recipients",0.25
"P1085","P2","Recipients",0.25
"P1171","P2","Recipients",0
"P1171","P2","Recipients",0
"P1202","P2","Recipients",0.5
"P1202","P2","Recipients",0.5
"P1089","P2","Recipients",0.5
"P1089","P2","Recipients",0.5
"P1073","P2","Recipients",0
"P1195","P2","Recipients",0.03125
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1151","P2","Recipients",0.5
"P1151","P2","Recipients",0.03125
"P1123","P2","Recipients",0.5
"P1123","P2","Recipients",0.5
"P1123","P2","Recipients",0.5
"P1046","P2","Recipients",0.5
"P1046","P2","Recipients",0.5
"P1218","P2","Recipients",0.5
"P1218","P2","Recipients",0.5
"P1218","P2","Recipients",0.5
"P1118","P2","Recipients",0.5
"P1118","P2","Recipients",0.5
"P1118","P2","Recipients",0.125
"P1013","P2","Recipients",0
"P1013","P2","Recipients",0
"P1117","P2","Recipients",0.5
"P1120","P2","Recipients",0.25
"P1120","P2","Recipients",0.25
"P1133","P2","Recipients",0.5
"P1133","P2","Recipients",0
"P1153","P2","Recipients",0.0625
"P1153","P2","Recipients",0
"P1153","P2","Recipients",0.03125
"P1207","P2","Recipients",0.0625
"P1207","P2","Recipients",0.5
"P1207","P2","Recipients",0.0625
"P1226","P2","Recipients",0.5
"P1226","P2","Recipients",0.5
"P1226","P2","Recipients",0.5
"P1226","P2","Recipients",0.5
"P1217","P2","Recipients",0.0625
"P1217","P2","Recipients",0.25
"P1125","P2","Recipients",0.5
"P1125","P2","Recipients",0
"P1125","P2","Recipients",0.5
"P1189","P2","Recipients",0
"P1189","P2","Recipients",0.5
"P1189","P2","Recipients",0.5
"P1154","P2","Recipients",0.5
"P1154","P2","Recipients",0.5
"P1154","P2","Recipients",0.5
"P1026","P2","Recipients",0.5
"P1026","P2","Recipients",0.5
"P1185","P2","Recipients",0.5
"P1185","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1091","P2","Recipients",0.5
"P1091","P2","Recipients",0
"P1091","P2","Recipients",0.0332
"P1091","P2","Recipients",0.0625
"P1047","P2","Recipients",0.5
"P1047","P2","Recipients",0.5
"P1103","P2","Recipients",0.5
"P1103","P2","Recipients",0.5
"P1103","P2","Recipients",0.5
"P1225","P2","Recipients",0.5
"P1095","P2","Recipients",0.5
"P1010","P3","Recipients",0.125
"P1010","P3","Recipients",0.125
"P1034","P3","Recipients",0
"P1034","P3","Recipients",0.125
"P1039","P3","Recipients",0.5
"P1039","P3","Recipients",0.5
"P1155","P3","Recipients",0.5
"P1155","P3","Recipients",0.5
"P1155","P3","Recipients",0.5
"P1191","P3","Recipients",0.5
"P1191","P3","Recipients",0.5
"P1191","P3","Recipients",0.5
"P1042","P3","Recipients",0.5
"P1042","P3","Recipients",0.5
"P1157","P3","Recipients",0.125
"P1157","P3","Recipients",0.125
"P1157","P3","Recipients",0.5
"P1144","P3","Recipients",0.5
"P1144","P3","Recipients",0.5
"P1144","P3","Recipients",0.5
"P1159","P3","Recipients",0.5
"P1158","P3","Recipients",0.5
"P1158","P3","Recipients",0.5
"P1158","P3","Recipients",0.5
"P1208","P3","Recipients",0.5
"P1208","P3","Recipients",0.5
"P1208","P3","Recipients",0
"P1206","P3","Recipients",0
"P1206","P3","Recipients",0.125
"P1065","P3","Recipients",0
"P1065","P3","Recipients",0
"P1152","P4","Recipients",0.03125
"P1152","P4","Recipients",0.5
"P1136","P4","Recipients",0.5
"P1119","P4","Recipients",0.5
"P1119","P4","Recipients",0.5
"P1110","P4","Recipients",0.25
"P1110","P4","Recipients",0.25
"P1110","P4","Recipients",0.25
"P1002","P4","Recipients",0.5
"P1002","P4","Recipients",0.5
"P1174","P4","Recipients",0.125
"P1093","P5","Recipients",0.01563
"P1093","P5","Recipients",0.01563
"P1093","P5","Recipients",0.00781
"P1187","P5","Recipients",0.25
"P1187","P5","Recipients",0.125
"P1164","P5","Recipients",0.01563
"P1164","P5","Recipients",0.01563
"P1211","P5","Recipients",0.125
"P1211","P5","Recipients",0.125
"P1211","P5","Recipients",0.125
"P1211","P5","Recipients",0.125
"P1008","P5","Recipients",0.00781
"P1008","P5","Recipients",0.00781
"P1008","P5","Recipients",0.0625
"P1008","P5","Recipients",0.0625
"P1219","P5","Recipients",0.5
"P1219","P5","Recipients",0.5
"P1219","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1111","P5","Recipients",0.5
"P1111","P5","Recipients",0.5
"P1115","P5","Recipients",0.5
"P1115","P5","Recipients",0.5
"P1115","P5","Recipients",0.125
"P1115","P5","Recipients",0.5
"P1115","P5","Recipients",0.5
"P1205","P5","Recipients",0.125
"P1205","P5","Recipients",0
"P1037","P5","Recipients",0.5
"P1037","P5","Recipients",0.5
"P1100","P5","Recipients",0.125
"P1100","P5","Recipients",0.125
"P1121","P5","Recipients",0.5
"P1121","P5","Recipients",0.5
"P1041","P5","Recipients",0.01563
"P1041","P5","Recipients",0
"P1041","P5","Recipients",0.01563
"P1041","P5","Recipients",0
"P1033","P6","Recipients",0.5
"P1036","P6","Recipients",0
"P1036","P6","Recipients",0
"P1036","P6","Recipients",0
"P1084","P6","Recipients",0.5
"P1084","P6","Recipients",0.5
"P1084","P6","Recipients",0.5
"P1162","P6","Recipients",0.5
"P1067","P6","Recipients",0.25
"P1067","P6","Recipients",0
"P1067","P6","Recipients",0.25
"P1113","P6","Recipients",0.125
"P1113","P6","Recipients",0.125
"P1052","P6","Recipients",0.5
"P1052","P6","Recipients",0.5
"P1052","P6","Recipients",0.5
"P1193","P7","Recipients",0.03125
"P1193","P7","Recipients",0.0078
"P1193","P7","Recipients",0.00781
"P1064","P7","Recipients",0.03125
"P1063","P7","Recipients",0.25
"P1063","P7","Recipients",0.25
"P1190","P7","Recipients",0.25
"P1190","P7","Recipients",0.25
"P1061","P7","Recipients",0.00781
"P1061","P7","Recipients",0.00781
"P1061","P7","Recipients",0.00781
"P1139","P7","Recipients",0.03125
"P1139","P7","Recipients",0.125
"P1139","P7","Recipients",0
"P1139","P7","Recipients",0
"P1192","P7","Recipients",0.5
"P1192","P7","Recipients",0
"P1192","P7","Recipients",0
"P1132","P7","Recipients",0.5
"P1132","P7","Recipients",0.03125
"P1132","P7","Recipients",0
"P1126","P7","Recipients",0
"P1126","P7","Recipients",0.03125
"P1126","P7","Recipients",0.0625
"P1126","P7","Recipients",0.03125
"P1126","P7","Recipients",0
"P1169","P7","Recipients",0.01563
"P1169","P7","Recipients",0.5
"P1169","P7","Recipients",0.04688
"P1099","P7","Recipients",0.5
"P1150","P7","Recipients",0.5
"P1150","P7","Recipients",0.5
"P1172","P7","Recipients",0.125
"P1106","P7","Recipients",0.5
"P1106","P7","Recipients",0.5
"P1101","P8","Recipients",0.5
"P1009","P8","Recipients",0.5
"P1148","P8","Recipients",0.5
"P1007","P8","Recipients",0.5
"P1007","P8","Recipients",0.5
"P1007","P8","Recipients",0.5
"P1012","P8","Recipients",0.5
"P1012","P8","Recipients",0.5
"P1012","P8","Recipients",0.5
"P1032","P8","Recipients",0.5
"P1197","P10","Recipients",0
"P1102","P10","Recipients",0.25
"P1023","P10","Recipients",0.5
"P1023","P10","Recipients",0.5
"P1023","P10","Recipients",0.5
"P1128","P10","Recipients",0.5
"P1128","P10","Recipients",0.5
"P1128","P10","Recipients",0.5
"P1051","P10","Recipients",0.125
"P1051","P10","Recipients",0.125
"P1025","P10","Recipients",0.5
"P1025","P10","Recipients",0.5
"P1107","P10","Recipients",0.5
"P1107","P10","Recipients",0.5
"P1107","P10","Recipients",0.5
"P1146","P11","Recipients",0.5
"P1146","P11","Recipients",0.5
"P1056","P1","Recipients",0.12891
"P1056","P1","Recipients",0.12891
"P1031","P1","Recipients",0.5
"P1031","P1","Recipients",0.5
"P1031","P1","Recipients",0.5
"P1173","P1","Recipients",0.03125
"P1173","P1","Recipients",0.5
"P1135","P11","Recipients",0.0625
"P1135","P11","Recipients",0.0625
"P1135","P11","Recipients",0.0625
"P1135","P11","Recipients",0.0625
"P1204","P11","Recipients",0.5
"P1204","P11","Recipients",0.5
"P1028","P11","Recipients",0.5
"P1028","P11","Recipients",0.5
"P1028","P11","Recipients",0.5
"P1003","P11","Recipients",0.125
"P1003","P11","Recipients",0
"P1003","P11","Recipients",0.125
"P1003","P11","Recipients",0
"P1050","P11","Recipients",0.5
"P1050","P11","Recipients",0.5
"P1050","P11","Recipients",0.125
"M1031","M1","Recipients",0.5
"M1031","M1","Recipients",0.5
"M1031","M1","Recipients",0.5
"M1029","M1","Recipients",0
"M1029","M1","Recipients",0.03125
"M1006","M1","Recipients",0.5
"M1015","M1","Recipients",0.0625
"M1015","M1","Recipients",0
"M1015","M1","Recipients",0.03125
"M1015","M1","Recipients",0
"M1001","M2","Recipients",0.125
"M1030","M2","Recipients",0.125
"M1030","M2","Recipients",0.125
"M1030","M2","Recipients",0.125
"M1007","M2","Recipients",0.5
"M1007","M2","Recipients",0.5
"M1007","M2","Recipients",0.125
"M1019","M2","Recipients",0.5
"M1019","M2","Recipients",0.5
"M1019","M2","Recipients",0.125
"M1019","M2","Recipients",0.125
"M1019","M2","Recipients",0
"M1027","M2","Recipients",0.125
"M1027","M2","Recipients",0
"M1027","M2","Recipients",0.125
"M1027","M2","Recipients",0
"M1023","M2","Recipients",0.125
"M1023","M2","Recipients",0.125
"M1023","M2","Recipients",0.5
"M1021","M2","Recipients",0.125
"M1026","M3","Recipients",0.25
"M1026","M3","Recipients",0.5
"M1026","M3","Recipients",0
"M1022","M3","Recipients",0.5
"M1022","M3","Recipients",0.5
"M1008","M3","Recipients",0.5
"M1008","M3","Recipients",0.5
"M1008","M3","Recipients",0.5
"M1008","M3","Recipients",0.5
"P1168","P2","Camp",0.0113
"P1183","P2","Camp",0.0258
"P1048","P2","Camp",0.0258
"P1140","P2","Camp",0.0197
"P1085","P2","Camp",0.0197
"P1171","P2","Camp",0.054
"P1202","P2","Camp",0.0729
"P1089","P2","Camp",0.0729
"P1073","P2","Camp",0.0408
"P1195","P2","Camp",0.0408
"P1222","P2","Camp",0.0408
"P1151","P2","Camp",0.0675
"P1123","P2","Camp",0.0675
"P1046","P2","Camp",0.0675
"P1218","P2","Camp",0.0675
"P1118","P2","Camp",0.0556
"P1013","P2","Camp",0.0178
"P1117","P2","Camp",0.0178
"P1120","P2","Camp",0.0122
"P1133","P2","Camp",0.0829
"P1153","P2","Camp",0.0829
"P1207","P2","Camp",0.0933
"P1226","P2","Camp",0.0933
"P1217","P2","Camp",0.0577
"P1125","P2","Camp",0.0387
"P1189","P2","Camp",0.0387
"P1154","P2","Camp",0.0387
"P1026","P2","Camp",0.0387
"P1185","P2","Camp",0.0387
"P1186","P2","Camp",0.0387
"P1091","P2","Camp",0.0578
"P1047","P2","Camp",0.0578
"P1103","P2","Camp",0.0578
"P1225","P2","Camp",0.0768
"P1095","P2","Camp",0.0768
"P1010","P3","Camp",0.0952
"P1034","P3","Camp",0.0952
"P1039","P3","Camp",0.1488
"P1155","P3","Camp",0.1488
"P1191","P3","Camp",0.1488
"P1042","P3","Camp",0.1488
"P1157","P3","Camp",0.131
"P1144","P3","Camp",0.131
"P1159","P3","Camp",0.131
"P1158","P3","Camp",0.0536
"P1208","P3","Camp",0.0536
"P1206","P3","Camp",0.0179
"P1065","P3","Camp",0.0119
"P1152","P4","Camp",0.0833
"P1136","P4","Camp",0.0833
"P1119","P4","Camp",0.128
"P1110","P4","Camp",0.0139
"P1002","P4","Camp",0.0547
"P1174","P4","Camp",0.0512
"P1093","P5","Camp",0.1207
"P1187","P5","Camp",0.0694
"P1164","P5","Camp",0.1207
"P1211","P5","Camp",0.1207
"P1008","P5","Camp",0.0551
"P1219","P5","Camp",0.0629
"P1029","P5","Camp",0.0629
"P1111","P5","Camp",0.0629
"P1115","P5","Camp",0.1146
"P1205","P5","Camp",0.1146
"P1037","P5","Camp",0.1146
"P1100","P5","Camp",0.1146
"P1121","P5","Camp",0.0529
"P1041","P5","Camp",0.0529
"P1033","P6","Camp",0.0801
"P1036","P6","Camp",0
"P1084","P6","Camp",0.1195
"P1162","P6","Camp",0.1426
"P1067","P6","Camp",0.0942
"P1113","P6","Camp",0.1289
"P1052","P6","Camp",0.1289
"P1193","P7","Camp",0.0729
"P1064","P7","Camp",0.0729
"P1063","P7","Camp",0.0729
"P1190","P7","Camp",0.0729
"P1061","P7","Camp",0.0329
"P1139","P7","Camp",0.0947
"P1192","P7","Camp",0.0331
"P1132","P7","Camp",0.078
"P1126","P7","Camp",0.078
"P1169","P7","Camp",0.1095
"P1099","P7","Camp",0.1095
"P1150","P7","Camp",0.0567
"P1172","P7","Camp",0.051
"P1106","P7","Camp",0.1006
"P1101","P7","Camp",0.0883
"P1009","P8","Camp",0.05
"P1148","P8","Camp",0.1285
"P1007","P8","Camp",0.2227
"P1012","P8","Camp",0.2227
"P1032","P8","Camp",0.2227
"P1197","P10","Camp",0.0859
"P1102","P10","Camp",0.0408
"P1023","P10","Camp",0.1222
"P1128","P10","Camp",0.1222
"P1051","P10","Camp",0.077
"P1025","P10","Camp",0.0642
"P1107","P10","Camp",0.1222
"P1146","P11","Camp",0.0625
"P1056","P1","Camp",0.0754
"P1031","P1","Camp",0.2476
"P1173","P1","Camp",0.2476
"P1135","P11","Camp",0.1029
"P1204","P11","Camp",0.1599
"P1028","P11","Camp",0.1599
"P1003","P11","Camp",0.1379
"P1050","P11","Camp",0.1379
"M1031","M1","Camp",0.1207
"M1029","M1","Camp",0.152
"M1006","M1","Camp",0.0398
"M1015","M1","Camp",0.0455
"M1001","M2","Camp",0.1544
"M1030","M2","Camp",0.1434
"M1007","M2","Camp",0.1434
"M1019","M2","Camp",0.1434
"M1027","M2","Camp",0.0331
"M1023","M2","Camp",0.1581
"M1021","M2","Camp",0.1581
"M1026","M3","Camp",0.2275
"M1022","M3","Camp",0.2275
"M1008","M3","Camp",0.2138
